"Data","Lançamento","Detalhes","Nº documento","Valor","Tipo Lançamento"
"01/04/2024","Saldo Anterior","","","21.150,57",""
"02/04/2024","Compra com Carto","02/04 Padaria Pao de Mel","112938","-34,50","Sada"
"00/00/0000","Saldo do dia","","","21.116,07",""
"05/04/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/04/2024","Pix - Recebido","05/04 10:15 Consultoria TI","3988271632","4.100,00","Entrada"
"00/00/0000","Saldo do dia","","","23.716,07",""
"08/04/2024","Pix - Enviado","08/04 Posto Petrobras","662910","-180,00","Sada"
"10/04/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","23.416,07",""
"12/04/2024","Compra com Carto","12/04 Supermercado BH","445512","-312,45","Sada"
"00/00/0000","Saldo do dia","","","23.103,62",""
"15/04/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/04/2024","Pix - Recebido","15/04 14:30 PROJETO ALPHA","4011223344","3.250,00","Entrada"
"00/00/0000","Saldo do dia","","","26.308,12",""
"18/04/2024","Pix - Enviado","18/04 Restaurante Sabor","771022","-89,90","Sada"
"20/04/2024","Compra com Carto","20/04 Drogaria Araujo","122930","-56,70","Sada"
"00/00/0000","Saldo do dia","","","26.161,52",""
"22/04/2024","Pix - Enviado","22/04 Uber *UBER","332110","-25,40","Sada"
"25/04/2024","Compra com Carto","25/04 iFood *IFOOD","551029","-112,00","Sada"
"00/00/0000","Saldo do dia","","","26.024,12",""
"28/04/2024","Pix - Enviado","28/04 Posto Petrobras","881022","-210,00","Sada"
"30/04/2024","S A L D O","","","25.814,12",""
