"Data","Lan�amento","Detalhes","N� documento","Valor","Tipo Lan�amento"
"01/08/2024","Saldo Anterior","","","41.997,00",""
"01/08/2024","Compra com Carto","01/08 Posto Petrobras","201933","-220,00","Sada"
"02/08/2024","Pix - Enviado","02/08 Uber *UBER","201934","-28,40","Sada"
"00/00/0000","Saldo do dia","","","41.748,60",""
"04/08/2024","Pix - Recebido","04/08 10:20 Consultoria TI","3991228374","4.950,00","Entrada"
"05/08/2024","Pagamento de boleto","ALUGUEL RESIDENCIAL","80101","-1.500,00","Sada"
"05/08/2024","Compra com Carto","05/08 Restaurante Sabor","201935","-42,10","Sada"
"00/00/0000","Saldo do dia","","","45.156,50",""
"07/08/2024","Pix - Enviado","07/08 iFood *IFOOD","201936","-112,40","Sada"
"08/08/2024","Compra com Carto","08/08 Drogaria Araujo","201937","-56,90","Sada"
"10/08/2024","Pagamento de boleto","INTERNET FIBRA","80102","-120,00","Sada"
"00/00/0000","Saldo do dia","","","44.867,20",""
"12/08/2024","Compra com Carto","12/08 Supermercado BH","201938","-512,30","Sada"
"13/08/2024","Pix - Enviado","13/08 Uber *UBER","201939","-33,20","Sada"
"00/00/0000","Saldo do dia","","","44.321,70",""
"15/08/2024","Seguro","SEGURO DE VIDA","1780","-45,50","Sada"
"15/08/2024","Pix - Recebido","15/08 16:30 REGINA","023475","2.200,00","Entrada"
"16/08/2024","Compra com Carto","16/08 Padaria Pao de Mel","201940","-24,15","Sada"
"00/00/0000","Saldo do dia","","","46.452,05",""
"18/08/2024","Pix - Enviado","18/08 Restaurante Sabor","201941","-67,80","Sada"
"19/08/2024","Compra com Carto","19/08 Posto Petrobras","201942","-150,00","Sada"
"20/08/2024","Pix - Enviado","20/08 iFood *IFOOD","201943","-94,00","Sada"
"00/00/0000","Saldo do dia","","","46.140,25",""
"22/08/2024","Pix - Recebido","22/08 09:45 MARCOS EMILI","32735","3.100,00","Entrada"
"23/08/2024","Compra com Carto","23/08 Drogaria Araujo","201944","-88,20","Sada"
"25/08/2024","Pix - Enviado","25/08 Uber *UBER","201945","-21,50","Sada"
"00/00/0000","Saldo do dia","","","49.130,55",""
"27/08/2024","Compra com Carto","27/08 Supermercado BH","201946","-322,10","Sada"
"28/08/2024","Pix - Enviado","28/08 Restaurante Sabor","201947","-48,90","Sada"
"30/08/2024","Compra com Carto","30/08 Padaria Pao de Mel","201948","-15,60","Sada"
"31/08/2024","Pix - Enviado","31/08 Posto Petrobras","201949","-200,00","Sada"
"00/00/0000","Saldo do dia","","","48.543,95",""
"31/08/2024","S A L D O","","","48.543,95",""
